,Time,^GSPC,CL=F,BZ=F,UNG,GC=F,URA,XLE
1291,2023-02-01 16:00:00,4059.8050537109375,77.23999786376953,83.68363536487927,34.77359962463379,1940.800048828125,22.969999313354492,87.95750045776367
1292,2023-02-01 16:00:00,4054.8701171875,76.7249984741211,83.65295358137651,34.4276008605957,1941.0,22.889999389648438,87.28500366210938
1293,2023-02-01 17:00:00,4056.35009765625,76.20999908447266,83.62227179787375,34.41360092163086,1941.199951171875,22.949999809265137,87.39500045776367
1294,2023-02-01 18:00:00,4057.830078125,76.31499862670898,83.59159001437101,34.399600982666016,1942.0,23.010000228881836,87.50499725341797
1295,2023-02-01 18:00:00,4058.6500244140625,76.41999816894531,83.56090823086825,34.05980110168457,1942.800048828125,22.99250030517578,87.53249740600586
1296,2023-02-01 18:00:00,4059.469970703125,76.61999893188477,83.53022644736551,33.720001220703125,1950.9500122070312,22.975000381469727,87.55999755859375
1297,2023-02-01 19:00:00,4092.3748779296875,76.81999969482422,83.49954466386275,33.84000015258789,1959.0999755859375,23.289999961853027,87.95999908447266
1298,2023-02-01 20:00:00,4125.27978515625,76.81999969482422,83.46886288035999,33.959999084472656,1964.2999877929688,23.604999542236328,88.36000061035156
1299,2023-02-01 20:00:00,4122.23486328125,76.81999969482422,83.43818109685725,33.96999931335449,1969.5,23.542499542236328,88.28499984741211
1300,2023-02-01 20:00:00,4119.18994140625,76.7599983215332,83.40749931335449,33.97999954223633,1968.1500244140625,23.479999542236328,88.20999908447266
1301,2023-02-01 21:00:00,4121.406602647569,76.69999694824219,83.37681752985173,34.01611073811849,1966.800048828125,23.47583293914795,88.1205546061198
1302,2023-02-01 23:00:00,4123.623263888889,76.80000305175781,83.34613574634899,34.05222193400065,1968.5999755859375,23.47166633605957,88.03111012776692
1303,2023-02-02 00:00:00,4125.839925130208,77.02999877929688,83.31545396284623,34.08833312988281,1967.5999755859375,23.46749973297119,87.94166564941406
1304,2023-02-02 01:00:00,4128.056586371527,77.04000091552734,83.28477217934348,34.124444325764976,1968.0,23.463333129882812,87.8522211710612
1305,2023-02-02 02:00:00,4130.273247612848,77.0999984741211,83.25409039584073,34.16055552164713,1967.4000244140625,23.459166526794434,87.76277669270833
1306,2023-02-02 03:00:00,4132.489908854167,77.0999984741211,83.22340861233798,34.1966667175293,1967.5,23.454999923706055,87.67333221435547
1307,2023-02-02 04:00:00,4134.706570095486,77.22000122070312,83.19272682883523,34.23277791341146,1968.800048828125,23.450833320617676,87.58388773600261
1308,2023-02-02 05:00:00,4136.923231336806,77.02999877929688,83.16204504533248,34.26888910929362,1968.0999755859375,23.446666717529297,87.49444325764973
1309,2023-02-02 06:00:00,4139.139892578125,76.87000274658203,83.13136326182972,34.30500030517578,1967.4000244140625,23.442500114440918,87.40499877929688
1310,2023-02-02 07:00:00,4141.356553819444,76.5999984741211,83.10068147832698,34.341111501057945,1970.800048828125,23.43833351135254,87.31555430094402
1311,2023-02-02 08:00:00,4143.573215060764,76.70999908447266,83.06999969482422,34.3772226969401,1972.4000244140625,23.43416690826416,87.22610982259114
1312,2023-02-02 09:00:00,4145.789876302083,76.36000061035156,82.66999816894531,34.413333892822266,1971.800048828125,23.43000030517578,87.13666534423828
1313,2023-02-02 10:00:00,4148.006537543402,76.47000122070312,82.75,34.44944508870443,1967.9000244140625,23.425833702087402,87.04722086588542
1314,2023-02-02 11:00:00,4150.223198784723,76.2300033569336,82.4800033569336,34.485556284586586,1970.0,23.421667098999023,86.95777638753255
1315,2023-02-02 12:00:00,4152.439860026042,76.12000274658203,82.4000015258789,34.52166748046875,1968.800048828125,23.417500495910645,86.86833190917969
1316,2023-02-02 13:00:00,4154.656521267361,76.0199966430664,82.33000183105469,34.557778676350914,1959.199951171875,23.413333892822266,86.77888743082683
1317,2023-02-02 14:00:00,4156.873182508681,75.51000213623047,81.77999877929688,34.59388987223307,1935.9000244140625,23.409167289733887,86.68944295247395
1318,2023-02-02 14:00:00,4159.08984375,75.79000091552734,82.07500076293945,34.630001068115234,1938.3500366210938,23.405000686645508,86.5999984741211
1319,2023-02-02 15:00:00,4168.574951171875,76.06999969482422,82.37000274658203,34.55500030517578,1940.800048828125,23.36500072479248,86.68999862670898
1320,2023-02-02 16:00:00,4178.06005859375,76.29499816894531,82.63000106811523,34.47999954223633,1936.9000244140625,23.325000762939453,86.77999877929688
1321,2023-02-02 16:00:00,4177.64501953125,76.5199966430664,82.88999938964844,34.760398864746094,1933.0,23.255000114440918,86.86750030517578
1322,2023-02-02 16:00:00,4177.22998046875,76.70999908447266,83.06499862670898,35.04079818725586,1929.7999877929688,23.184999465942383,86.95500183105469
1323,2023-02-02 17:00:00,4178.175048828125,76.9000015258789,83.23999786376953,34.48659896850586,1926.5999755859375,23.15499973297119,86.625
1324,2023-02-02 18:00:00,4179.1201171875,76.7750015258789,83.08499908447266,33.93239974975586,1929.3999633789062,23.125,86.29499816894531
1325,2023-02-02 18:00:00,4173.75,76.6500015258789,82.93000030517578,33.726200103759766,1932.199951171875,23.085000038146973,85.7874984741211
1326,2023-02-02 18:00:00,4168.3798828125,76.29000091552734,82.57500076293945,33.52000045776367,1929.949951171875,23.045000076293945,85.27999877929688
1327,2023-02-02 19:00:00,4166.60498046875,75.93000030517578,82.22000122070312,33.60000038146973,1927.699951171875,23.02750015258789,85.35749816894531
1328,2023-02-02 20:00:00,4164.830078125,75.86999893188477,82.13500213623047,33.68000030517578,1927.449951171875,23.010000228881836,85.43499755859375
1329,2023-02-02 20:00:00,4171.699951171875,75.80999755859375,82.05000305175781,33.579999923706055,1927.199951171875,23.074999809265137,85.79249954223633
1330,2023-02-02 20:00:00,4178.56982421875,75.90499877929688,82.15500259399414,33.47999954223633,1927.1499633789062,23.139999389648438,86.1500015258789
1331,2023-02-02 21:00:00,4177.739284939236,76.0,82.26000213623047,33.43333286709256,1927.0999755859375,23.109166039360893,86.2366680569119
1332,2023-02-02 23:00:00,4176.908745659723,75.95999908447266,82.18000030517578,33.386666191948784,1929.0,23.07833268907335,86.32333458794488
1333,2023-02-03 00:00:00,4176.078206380208,76.05000305175781,82.31999969482422,33.339999516805015,1930.199951171875,23.04749933878581,86.41000111897786
1334,2023-02-03 01:00:00,4175.247667100694,76.0,82.2699966430664,33.29333284166124,1931.5,23.016665988498264,86.49666765001085
1335,2023-02-03 02:00:00,4174.417127821181,75.87000274658203,82.12000274658203,33.24666616651747,1930.0999755859375,22.98583263821072,86.58333418104384
1336,2023-02-03 03:00:00,4173.586588541667,75.80999755859375,82.22000122070312,33.199999491373696,1929.9000244140625,22.954999287923176,86.67000071207683
1337,2023-02-03 04:00:00,4172.756049262152,75.69000244140625,82.01000213623047,33.15333281622993,1930.0999755859375,22.924165937635635,86.7566672431098
